,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
26,Hyundai,Hyundai Santro,2018.0,570000.0,2018.0,Petrol,23447.0,1086.0,Automatic,2018.0,20.3,Power,165.0
27,Hyundai,Hyundai Santro Xing,2009.0,220000.00000000003,2009.0,LPG,30000.0,1086.0,Manual,2009.0,13.45,Power,141.0
28,Mercedes-Benz,Mercedes-Benz E-Class,2017.0,4145000.0000000005,2017.0,Petrol,33000.0,1991.0,Automatic,2017.0,15.0,Electric,236.0
29,Mahindra,Mahindra XUV500,2014.0,861000.0,2014.0,Diesel,87667.0,2179.0,Manual,2014.0,15.1,Power,175.0
30,Audi,Audi A4,2016.0,1785000.0000000002,2016.0,Diesel,40000.0,1968.0,Automatic,2016.0,17.11,Power,222.0
31,Mahindra,Mahindra XUV500,2014.0,802999.9999999999,2014.0,Diesel,79012.0,2179.0,Manual,2014.0,15.1,Power,175.0
32,Jeep,Jeep Compass,2021.0,2565000.0,2021.0,Diesel,31344.0,1956.0,Manual,2021.0,17.1,Power,160.21
33,Hyundai,Hyundai Xcent,2018.0,674000.0,2018.0,Petrol,50000.0,1197.0,Manual,2018.0,20.14,Power,172.0
34,Maruti,Maruti Wagon R,2015.0,349000.0,2015.0,Petrol,12434.0,998.0,Manual,2015.0,20.51,Power,152.0
35,Maruti,Maruti Ertiga,2019.0,1050000.0,2019.0,Petrol,60000.0,1462.0,Manual,2019.0,19.34,Power,164.0
36,Mercedes-Benz,Mercedes-Benz C-Class,2019.0,4425000.0,2019.0,Diesel,12000.0,1950.0,Automatic,2019.0,12.6,Power,240.0
37,Maruti,Maruti Wagon R,2015.0,405999.99999999994,2015.0,Petrol,40987.0,998.0,Manual,2015.0,20.51,Power,152.0
38,BMW,BMW 5 Series,2020.0,4965000.0,2020.0,Petrol,18157.0,1998.0,Automatic,2020.0,15.56,Power,250.0
39,Toyota,Toyota Fortuner,2011.0,1100000.0,2011.0,Diesel,120000.0,2982.0,Manual,2011.0,11.5,Power,176.0
